track,rate_metric,rate_label,pixel_rate_px_s,target_speed_mph,target_speed_mps,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_80mph_m,implied_slant_range_for_80mph_nm
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,20.0,1920,0.069334841,515.8,0.279
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,0.5,1920,0.000291693,122605.7,66.202
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,1.0,1920,0.000583385,61302.9,33.101
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,2.0,1920,0.001166771,30651.4,16.55
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,4.0,1920,0.002333542,15325.7,8.275
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,8.0,1920,0.004667083,7662.9,4.138
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,10.0,1920,0.005833854,6130.3,3.31
phase_all: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,64.177,80.0,35.763,20.0,1920,0.011667708,3065.1,1.655
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,0.5,1920,0.000888963,40230.2,21.723
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,1.0,1920,0.001777927,20115.1,10.861
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,2.0,1920,0.003555854,10057.6,5.431
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,4.0,1920,0.007111708,5028.8,2.715
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,8.0,1920,0.014223415,2514.4,1.358
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,10.0,1920,0.017779269,2011.5,1.086
phase_all: horizontal back-and-forth tracking,path_average_rate_px_s,path-length average rate,195.586,80.0,35.763,20.0,1920,0.035558538,1005.8,0.543
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,0.5,1920,0.000449027,79646.0,43.005
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,1.0,1920,0.000898054,39823.0,21.503
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,2.0,1920,0.001796107,19911.5,10.751
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,4.0,1920,0.003592215,9955.8,5.376
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,8.0,1920,0.00718443,4977.9,2.688
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,10.0,1920,0.008980537,3982.3,2.15
phase_all: horizontal back-and-forth tracking,step_rate_median_px_s,median consecutive-step rate,98.793,80.0,35.763,20.0,1920,0.017961074,1991.2,1.075
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,0.5,1920,0.001865521,19170.6,10.351
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,1.0,1920,0.003731041,9585.3,5.176
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,2.0,1920,0.007462082,4792.7,2.588
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,4.0,1920,0.014924165,2396.3,1.294
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,8.0,1920,0.02984833,1198.2,0.647
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,10.0,1920,0.037310412,958.5,0.518
phase_all: horizontal back-and-forth tracking,step_rate_p95_px_s,p95 consecutive-step rate,410.444,80.0,35.763,20.0,1920,0.074620825,479.3,0.259
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,0.5,1920,0.000312614,114400.5,61.771
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,1.0,1920,0.000625228,57200.3,30.886
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,2.0,1920,0.001250456,28600.1,15.443
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,4.0,1920,0.002500911,14300.1,7.721
phase_accepted_only: horizontal back-and-forth tracking,net_rate_px_s,net start-to-end rate,68.78,80.0,35.763,8.0,1920,0.005001823,7150.0,3.861
