asset_url,asset_filename,asset_extension,manifest_types,record_ids,record_count,agencies,local_exact_filename_match,local_bytes,local_source_path,titles
https://www.war.gov/medialink/ufo/release_1/dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,.pdf,PDF,DOW-UAP-D050,1,Department of War,yes,312451,I:\My Drive\UFO\dow-uap-d50-email-correspondence-indopacom-april-2025.pdf,"DOW-UAP-D050, Email Correspondence, INDOPACOM, April 2025"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,.pdf,PDF,DOW-UAP-D051,1,Department of War,yes,76470,I:\My Drive\UFO\dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.pdf,"DOW-UAP-D051, Email Correspondence, Pacific Time Zone, March 2023"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,dow-uap-d52-email-correspondance-na-august-2024.pdf,.pdf,PDF,DOW-UAP-D052,1,Department of War,yes,66874,I:\My Drive\UFO\dow-uap-d52-email-correspondance-na-august-2024.pdf,"DOW-UAP-D052, Email Correspondance, NA, August 2024"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d54-mission-report-mediterranean-sea-na.pdf,dow-uap-d54-mission-report-mediterranean-sea-na.pdf,.pdf,PDF,DOW-UAP-D054,1,Department of War,yes,20095,I:\My Drive\UFO\dow-uap-d54-mission-report-mediterranean-sea-na.pdf,"DOW-UAP-D054, Mission Report, Mediterranean Sea, NA"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d55-mission-report-syria-november-2016.pdf,dow-uap-d55-mission-report-syria-november-2016.pdf,.pdf,PDF,DOW-UAP-D055,1,Department of War,yes,207227,I:\My Drive\UFO\dow-uap-d55-mission-report-syria-november-2016.pdf,"DOW-UAP-D055, Mission Report, Syria, November 2016"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,.pdf,PDF,DOW-UAP-D056,1,Department of War,yes,1849972,I:\My Drive\UFO\dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,"DOW-UAP-D056, Range Fouler Debrief, Arabian Sea, August 2020"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,.pdf,PDF,DOW-UAP-D057,1,Department of War,yes,295447,I:\My Drive\UFO\dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf,"DOW-UAP-D057, Range Fouler Reporting Form, Gulf of Aden, September 2020"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,.pdf,PDF,DOW-UAP-D058,1,Department of War,yes,301419,I:\My Drive\UFO\dow-uap-d58-range-fouler-debrief-na-october-2020.pdf,"DOW-UAP-D058, Range Fouler Debrief, NA, October 2020"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d6-mission-report-arabian-gulf-2020.pdf,dow-uap-d6-mission-report-arabian-gulf-2020.pdf,.pdf,PDF,DOW-UAP-D006,1,Department of War,yes,26847,I:\My Drive\UFO\dow-uap-d6-mission-report-arabian-gulf-2020.pdf,"DOW-UAP-D006, Mission Report, Arabian Gulf, 2020"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,.pdf,PDF,DOW-UAP-D060,1,Department of War,yes,2412310,I:\My Drive\UFO\dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,"DOW-UAP-D060, Mission Report, Arabian Gulf, August 2020"
